edad,genero,nivel_educativo,ingresos_mensuales,ocupacion,interes_tema,uso_tecnologia,horas_disponibles,promociones_recibidas,matricula
18,M,Universitario,3045.0,Empleado,2,5,19,1,0
61,F,Secundaria,2670.0,Estudiante,3,1,7,1,0
25,Otro,Secundaria,1401.0,Estudiante,4,2,1,1,0
41,F,Secundaria,1178.0,Estudiante,2,1,16,0,0
28,M,Secundaria,877.0,Empleado,1,1,10,0,0
34,F,Primaria,2729.0,Independiente,3,1,13,1,0
25,M,Técnico,2245.0,Empleado,4,4,15,0,0
52,Otro,Secundaria,2283.0,Empleado,1,4,14,0,0
52,F,Secundaria,1300.0,Empleado,5,4,14,1,1
50,M,Técnico,200.0,Desempleado,2,3,2,1,0
22,F,Secundaria,278.0,Independiente,1,4,6,1,0
59,M,Primaria,1546.0,Empleado,4,3,11,0,0
56,Otro,Secundaria,1082.0,Empleado,3,2,2,1,0
58,Otro,Secundaria,990.0,Empleado,1,2,18,1,0
45,F,Técnico,1776.0,Empleado,3,2,9,0,0
24,M,Secundaria,2311.0,Estudiante,5,2,7,1,0
26,F,Universitario,939.0,Independiente,4,2,15,1,0
25,M,Postgrado,456.0,Independiente,4,4,15,1,1
29,M,Universitario,958.0,Empleado,2,5,11,0,0
51,F,Técnico,665.0,Desempleado,4,4,4,1,0
50,M,Universitario,1974.0,Empleado,1,5,19,0,0
65,M,Universitario,1497.0,Estudiante,1,4,5,0,0
40,Otro,Primaria,3004.0,Estudiante,1,2,5,1,0
41,M,Técnico,2088.0,Independiente,5,1,7,1,0
54,M,Universitario,2951.0,Empleado,4,5,16,1,1
52,F,Secundaria,377.0,Empleado,4,1,11,1,0
61,M,Primaria,200.0,Empleado,1,2,13,0,0
57,F,Universitario,1694.0,Estudiante,2,5,1,1,0
39,Otro,Universitario,1599.0,Independiente,2,1,18,0,0
44,F,Secundaria,1402.0,Estudiante,4,4,5,1,1
52,F,Técnico,1577.0,Independiente,4,2,17,1,0
18,M,Secundaria,601.0,Empleado,3,4,3,1,0
52,M,Universitario,1951.0,Empleado,4,4,4,1,0
54,F,Secundaria,2089.0,Desempleado,1,2,5,1,0
64,F,Secundaria,540.0,Empleado,5,5,14,1,1
31,F,Universitario,1217.0,Empleado,4,3,5,1,1
20,M,Técnico,1267.0,Independiente,4,3,7,1,1
18,M,Universitario,963.0,Independiente,1,2,8,1,0
22,M,Técnico,571.0,Empleado,3,3,20,1,0
43,F,Secundaria,1510.0,Empleado,4,1,5,1,0
31,M,Universitario,1709.0,Empleado,2,5,1,0,0
56,F,Secundaria,1012.0,Independiente,2,4,15,0,0
44,F,Técnico,627.0,Empleado,2,4,19,1,0
26,M,Secundaria,1828.0,Empleado,5,2,0,1,0
32,F,Universitario,886.0,Estudiante,5,4,15,1,1
32,M,Postgrado,1253.0,Empleado,4,1,0,1,0
43,F,Postgrado,1151.0,Empleado,4,1,0,0,0
59,F,Técnico,2497.0,Independiente,4,2,6,1,0
30,F,Secundaria,923.0,Estudiante,5,4,15,1,1
49,F,Técnico,2880.0,Independiente,4,3,16,1,1
56,M,Universitario,2102.0,Empleado,1,3,15,1,0
49,M,Secundaria,2957.0,Empleado,3,5,15,0,0
21,F,Postgrado,2032.0,Independiente,2,2,5,0,0
47,M,Secundaria,1323.0,Empleado,2,5,17,1,0
54,M,Postgrado,766.0,Independiente,1,3,2,1,0
40,M,Universitario,1216.0,Estudiante,4,3,7,1,1
56,F,Universitario,2690.0,Estudiante,5,3,3,1,0
62,M,Secundaria,1462.0,Empleado,4,5,3,0,0
32,F,Primaria,2029.0,Empleado,4,2,16,1,0
60,Otro,Técnico,1666.0,Empleado,2,1,4,1,0
46,M,Secundaria,1700.0,Independiente,2,1,13,1,0
53,M,Primaria,1731.0,Empleado,5,3,14,1,0
30,M,Técnico,1896.0,Empleado,2,2,11,1,0
49,F,Técnico,849.0,Desempleado,4,2,12,1,0
24,M,Universitario,1280.0,Empleado,1,4,17,0,0
39,M,Universitario,1747.0,Empleado,5,4,13,0,0
45,M,Secundaria,1631.0,Empleado,1,5,18,1,0
19,F,Postgrado,1131.0,Independiente,4,4,6,1,1
59,M,Secundaria,1833.0,Desempleado,5,5,5,1,1
62,F,Técnico,883.0,Empleado,1,1,4,1,0
23,F,Técnico,522.0,Estudiante,5,3,3,1,0
45,M,Universitario,1736.0,Estudiante,4,2,17,1,0
45,F,Primaria,541.0,Empleado,5,1,13,0,0
61,M,Técnico,1724.0,Desempleado,4,1,15,0,0
61,F,Universitario,200.0,Independiente,5,5,19,0,0
37,F,Secundaria,920.0,Empleado,5,3,13,1,1
47,F,Universitario,1238.0,Desempleado,2,5,4,0,0
28,M,Postgrado,215.0,Empleado,4,1,10,1,0
45,M,Postgrado,1202.0,Empleado,3,2,11,0,0
42,M,Primaria,2448.0,Empleado,5,4,17,1,0
56,M,Secundaria,484.0,Estudiante,1,5,3,1,0
50,M,Secundaria,1224.0,Independiente,2,1,12,1,0
18,M,Técnico,2862.0,Empleado,2,4,19,0,0
44,M,Secundaria,651.0,Empleado,5,4,12,0,0
30,M,Secundaria,2618.0,Independiente,3,1,3,1,0
58,F,Postgrado,1277.0,Empleado,2,3,6,1,0
20,M,Postgrado,1582.0,Empleado,4,1,1,1,0
56,M,Primaria,2533.0,Independiente,5,2,20,1,0
23,M,Secundaria,1112.0,Estudiante,5,4,17,0,0
25,M,Técnico,2005.0,Empleado,3,2,20,0,0
44,Otro,Secundaria,2208.0,Estudiante,4,5,5,1,1
26,M,Universitario,979.0,Empleado,4,4,15,1,1
54,F,Universitario,891.0,Empleado,3,3,2,0,0
50,Otro,Universitario,1317.0,Desempleado,1,1,14,1,0
59,F,Universitario,1342.0,Independiente,4,5,20,1,1
61,F,Técnico,637.0,Estudiante,1,2,19,1,0
41,F,Universitario,987.0,Independiente,1,5,9,0,0
32,Otro,Secundaria,200.0,Empleado,5,3,8,0,0
49,F,Técnico,1233.0,Empleado,5,1,10,1,0
49,F,Técnico,2216.0,Empleado,2,5,13,0,0
41,F,Secundaria,200.0,Empleado,5,2,11,0,0
58,F,Secundaria,1129.0,Empleado,4,5,6,1,1
29,F,Secundaria,3454.0,Estudiante,4,1,10,0,0
56,M,Postgrado,1482.0,Independiente,1,5,16,1,0
19,M,Secundaria,2585.0,Empleado,4,2,8,1,0
20,M,Secundaria,690.0,Desempleado,5,1,12,1,0
54,M,Técnico,1859.0,Desempleado,5,3,15,0,0
34,M,Universitario,554.0,Independiente,5,3,2,1,0
19,M,Secundaria,1821.0,Estudiante,3,4,4,1,0
19,F,Postgrado,2174.0,Independiente,4,5,16,1,1
45,M,Universitario,1984.0,Empleado,2,2,0,0,0
40,F,Técnico,1224.0,Desempleado,4,5,20,0,0
54,M,Universitario,1720.0,Estudiante,4,1,8,1,0
49,M,Primaria,1728.0,Estudiante,3,4,16,1,0
50,F,Secundaria,2033.0,Empleado,4,2,12,1,0
18,F,Universitario,1401.0,Desempleado,1,5,14,1,0
36,M,Primaria,2245.0,Empleado,5,2,20,1,0
19,F,Secundaria,2648.0,Estudiante,5,1,7,1,0
61,F,Técnico,1246.0,Independiente,3,4,7,1,0
43,M,Secundaria,1537.0,Independiente,5,2,1,1,0
49,M,Postgrado,776.0,Desempleado,1,1,9,0,0
23,Otro,Secundaria,1772.0,Empleado,3,3,4,1,0
49,F,Universitario,1777.0,Empleado,2,2,15,1,0
21,F,Técnico,1546.0,Estudiante,5,4,18,1,1
28,F,Universitario,1607.0,Empleado,4,2,0,1,0
34,M,Secundaria,3037.0,Independiente,1,2,12,1,0
55,M,Técnico,200.0,Empleado,1,1,3,0,0
41,M,Universitario,1103.0,Estudiante,5,5,6,0,0
22,F,Técnico,1225.0,Estudiante,2,5,0,1,0
51,F,Técnico,2666.0,Empleado,4,2,1,0,0
23,F,Técnico,1880.0,Estudiante,2,4,15,1,0
39,M,Universitario,1900.0,Empleado,2,4,13,0,0
28,M,Técnico,2508.0,Empleado,5,1,4,0,0
65,F,Postgrado,1356.0,Empleado,4,2,13,0,0
33,F,Secundaria,2022.0,Estudiante,5,2,16,1,0
50,F,Técnico,1075.0,Estudiante,5,5,11,1,1
26,M,Universitario,657.0,Empleado,1,1,19,0,0
23,F,Universitario,2935.0,Independiente,5,3,11,0,0
33,M,Universitario,1795.0,Independiente,3,4,2,1,0
46,F,Postgrado,2016.0,Estudiante,4,4,20,1,1
20,M,Técnico,636.0,Empleado,1,2,20,1,0
37,F,Secundaria,1908.0,Empleado,4,1,1,1,0
53,M,Primaria,2923.0,Independiente,1,3,20,1,0
36,F,Universitario,1278.0,Desempleado,3,4,20,1,0
43,M,Universitario,495.0,Empleado,5,1,14,0,0
20,M,Secundaria,1647.0,Independiente,1,3,10,1,0
36,M,Secundaria,671.0,Empleado,1,2,9,1,0
37,M,Primaria,254.0,Estudiante,1,5,17,1,0
49,M,Universitario,912.0,Desempleado,3,4,20,0,0
24,F,Secundaria,1106.0,Estudiante,4,4,1,1,0
58,M,Técnico,710.0,Empleado,3,3,6,1,0
50,F,Técnico,2561.0,Desempleado,1,5,6,1,0
57,F,Universitario,3012.0,Empleado,1,1,6,0,0
56,F,Universitario,1994.0,Independiente,5,2,13,0,0
35,M,Universitario,1807.0,Independiente,3,1,1,1,0
57,M,Secundaria,1386.0,Empleado,3,3,1,1,0
18,F,Técnico,783.0,Empleado,2,4,14,0,0
28,Otro,Universitario,2782.0,Independiente,4,4,10,1,1
45,M,Postgrado,1450.0,Empleado,2,1,9,0,0
42,M,Secundaria,1130.0,Independiente,2,2,2,1,0
40,M,Primaria,2312.0,Desempleado,4,3,16,0,0
48,Otro,Primaria,1441.0,Independiente,5,2,8,0,0
47,M,Técnico,2282.0,Independiente,5,3,14,0,0
59,M,Universitario,1172.0,Estudiante,4,2,13,0,0
52,F,Primaria,2314.0,Independiente,4,1,18,0,0
24,M,Técnico,2284.0,Empleado,3,5,16,1,0
33,M,Secundaria,2560.0,Empleado,3,3,19,1,0
43,F,Primaria,932.0,Independiente,3,1,16,1,0
65,F,Técnico,1434.0,Empleado,3,4,15,0,0
19,M,Secundaria,3058.0,Estudiante,1,4,19,0,0
18,M,Técnico,1303.0,Independiente,1,2,7,1,0
65,M,Universitario,2149.0,Empleado,5,4,6,1,1
29,M,Técnico,3332.0,Empleado,1,5,11,0,0
22,F,Secundaria,200.0,Empleado,1,3,0,0,0
54,M,Postgrado,1276.0,Empleado,3,2,11,1,0
49,M,Universitario,1501.0,Desempleado,3,3,5,1,0
26,M,Universitario,200.0,Empleado,4,3,15,1,1
58,F,Primaria,1135.0,Empleado,3,1,17,1,0
52,F,Primaria,723.0,Empleado,4,4,18,1,0
36,F,Primaria,2186.0,Empleado,4,3,2,1,0
65,M,Secundaria,200.0,Empleado,1,5,2,0,0
33,F,Técnico,3011.0,Desempleado,3,5,4,1,0
20,F,Postgrado,2052.0,Independiente,1,4,2,0,0
37,M,Técnico,657.0,Empleado,3,4,18,1,0
41,M,Secundaria,2321.0,Empleado,1,2,4,1,0
50,M,Técnico,1978.0,Independiente,1,2,13,1,0
41,M,Secundaria,1469.0,Estudiante,1,2,20,1,0
28,M,Universitario,923.0,Desempleado,5,4,15,0,0
25,M,Técnico,1938.0,Empleado,1,3,0,0,0
53,M,Universitario,1598.0,Empleado,2,1,16,1,0
55,F,Postgrado,949.0,Empleado,2,2,10,1,0
57,M,Secundaria,425.0,Estudiante,2,1,8,0,0
37,F,Técnico,820.0,Independiente,4,5,20,1,1
52,F,Postgrado,1097.0,Independiente,1,4,3,0,0
65,F,Universitario,2430.0,Empleado,2,5,1,1,0
42,F,Técnico,2189.0,Independiente,4,2,8,0,0
52,M,Postgrado,1140.0,Desempleado,2,3,4,1,0
42,F,Primaria,1171.0,Empleado,3,2,3,0,0
46,M,Postgrado,2293.0,Empleado,5,1,4,1,0
35,M,Primaria,1714.0,Empleado,1,2,17,0,0
63,F,Técnico,1703.0,Empleado,5,3,12,0,0
35,M,Universitario,937.0,Estudiante,5,3,4,1,0
19,M,Secundaria,1401.0,Desempleado,3,4,18,1,0
52,F,Técnico,1503.0,Desempleado,3,4,2,0,0
33,F,Secundaria,1427.0,Empleado,3,3,17,0,0
58,F,Postgrado,2087.0,Empleado,4,3,5,1,1
53,M,Universitario,2112.0,Independiente,2,1,5,0,0
50,F,Universitario,765.0,Independiente,1,2,4,1,0
21,M,Técnico,1100.0,Independiente,3,4,0,1,0
50,F,Universitario,950.0,Empleado,1,1,7,0,0
31,F,Técnico,2611.0,Independiente,1,2,0,1,0
38,F,Técnico,3303.0,Estudiante,1,4,20,1,0
65,F,Universitario,1129.0,Empleado,3,1,5,0,0
37,M,Técnico,1366.0,Empleado,3,5,19,1,0
25,F,Primaria,2174.0,Estudiante,2,5,13,1,0
24,F,Primaria,934.0,Desempleado,3,4,10,1,0
20,M,Secundaria,2192.0,Empleado,3,1,1,1,0
34,F,Universitario,1483.0,Empleado,1,2,20,0,0
50,M,Técnico,200.0,Desempleado,2,2,3,0,0
65,F,Universitario,460.0,Empleado,5,1,12,0,0
29,F,Técnico,1230.0,Empleado,3,5,6,0,0
39,F,Secundaria,2478.0,Independiente,3,1,5,0,0
39,M,Secundaria,786.0,Empleado,5,5,2,1,0
63,F,Universitario,1073.0,Estudiante,1,5,8,0,0
47,F,Universitario,1669.0,Empleado,2,2,13,0,0
55,F,Postgrado,200.0,Estudiante,1,4,19,1,0
55,M,Universitario,1739.0,Estudiante,4,3,10,0,0
62,M,Técnico,265.0,Independiente,3,1,4,0,0
25,F,Universitario,1954.0,Estudiante,4,5,13,0,0
44,M,Postgrado,853.0,Independiente,3,1,18,0,0
44,F,Universitario,746.0,Estudiante,4,4,7,1,1
51,F,Primaria,1718.0,Empleado,5,4,6,1,0
38,F,Técnico,2135.0,Empleado,3,3,6,0,0
47,F,Universitario,1801.0,Independiente,3,3,2,0,0
50,F,Universitario,1666.0,Empleado,4,5,2,0,0
45,M,Secundaria,1677.0,Estudiante,2,3,17,1,0
64,M,Universitario,1806.0,Estudiante,4,5,12,1,1
50,M,Postgrado,1858.0,Empleado,3,2,0,1,0
22,M,Secundaria,1185.0,Estudiante,3,5,4,0,0
65,F,Universitario,2024.0,Empleado,2,3,3,0,0
36,F,Primaria,861.0,Empleado,1,1,15,1,0
21,F,Primaria,2373.0,Empleado,2,3,14,1,0
52,F,Secundaria,2126.0,Empleado,1,4,17,1,0
34,Otro,Primaria,3245.0,Empleado,3,3,16,0,0
61,F,Universitario,1911.0,Empleado,5,2,13,1,0
45,F,Primaria,2227.0,Empleado,5,5,13,1,0
47,F,Secundaria,252.0,Independiente,4,4,18,1,1
46,M,Secundaria,2253.0,Independiente,2,5,5,0,0
63,M,Secundaria,2441.0,Empleado,2,5,12,1,0
23,M,Primaria,2704.0,Empleado,5,3,17,0,0
52,F,Universitario,1596.0,Estudiante,1,1,14,1,0
58,F,Secundaria,1226.0,Estudiante,2,4,6,0,0
54,M,Universitario,628.0,Empleado,1,2,18,1,0
41,M,Universitario,702.0,Desempleado,1,2,16,1,0
46,F,Primaria,1480.0,Estudiante,1,1,8,0,0
63,M,Universitario,200.0,Independiente,1,1,10,1,0
48,M,Primaria,885.0,Empleado,4,3,4,0,0
52,F,Secundaria,1572.0,Empleado,4,2,1,1,0
50,M,Primaria,1554.0,Empleado,5,4,14,0,0
38,M,Secundaria,724.0,Independiente,4,1,11,0,0
49,F,Técnico,513.0,Empleado,2,1,9,1,0
40,F,Universitario,632.0,Empleado,4,1,9,0,0
50,F,Secundaria,1323.0,Empleado,2,4,19,1,0
20,M,Universitario,3204.0,Estudiante,2,2,10,1,0
35,M,Secundaria,2348.0,Independiente,1,4,9,1,0
42,M,Universitario,1671.0,Independiente,5,4,6,1,1
59,F,Secundaria,1943.0,Independiente,1,3,13,0,0
48,F,Secundaria,2313.0,Empleado,1,1,12,1,0
20,M,Secundaria,2040.0,Estudiante,4,2,4,0,0
57,F,Secundaria,1253.0,Desempleado,4,3,18,1,1
63,M,Técnico,824.0,Estudiante,2,3,9,1,0
41,M,Universitario,1400.0,Empleado,4,5,7,1,1
49,M,Primaria,2303.0,Empleado,4,1,17,0,0
64,M,Universitario,1284.0,Empleado,3,2,0,1,0
39,F,Universitario,616.0,Independiente,2,2,4,1,0
40,F,Universitario,200.0,Estudiante,2,2,10,1,0
19,M,Secundaria,1403.0,Empleado,3,1,19,0,0
44,F,Técnico,679.0,Empleado,2,2,10,1,0
59,M,Postgrado,1151.0,Estudiante,5,4,15,0,0
19,F,Universitario,2665.0,Empleado,5,4,9,1,1
43,F,Técnico,1457.0,Estudiante,3,1,14,1,0
34,M,Secundaria,900.0,Independiente,4,2,6,0,0
57,F,Secundaria,1747.0,Empleado,5,5,14,0,0
50,M,Técnico,3037.0,Desempleado,3,5,15,1,0
26,M,Universitario,1403.0,Empleado,5,5,5,0,0
60,M,Secundaria,200.0,Empleado,1,4,10,0,0
65,F,Técnico,2020.0,Empleado,3,5,16,1,0
56,F,Técnico,1777.0,Desempleado,2,2,14,1,0
46,M,Técnico,1572.0,Empleado,5,2,15,1,0
59,F,Universitario,1325.0,Independiente,2,5,1,0,0
43,F,Universitario,854.0,Estudiante,3,3,3,0,0
52,F,Secundaria,2712.0,Empleado,5,5,18,1,1
42,F,Universitario,200.0,Empleado,2,3,5,1,0
41,F,Secundaria,1253.0,Empleado,4,1,17,1,0
30,M,Secundaria,1234.0,Empleado,4,1,20,1,0
24,M,Secundaria,2183.0,Estudiante,1,2,10,1,0
53,Otro,Secundaria,2489.0,Empleado,3,4,8,0,0
62,M,Secundaria,1319.0,Estudiante,2,2,2,1,0
37,Otro,Secundaria,1654.0,Empleado,1,2,1,1,0
18,F,Universitario,1722.0,Independiente,3,4,17,1,0
25,M,Secundaria,2343.0,Empleado,4,2,14,1,0
63,M,Universitario,2326.0,Estudiante,2,4,17,1,0
33,M,Primaria,1069.0,Estudiante,5,2,18,1,0
31,F,Postgrado,1850.0,Independiente,4,1,14,0,0
29,M,Universitario,1807.0,Estudiante,5,3,16,1,1
40,M,Primaria,1407.0,Desempleado,5,2,17,1,0
32,M,Universitario,1799.0,Estudiante,2,3,17,1,0
45,M,Técnico,1516.0,Empleado,2,5,10,1,0
51,F,Universitario,1626.0,Empleado,5,2,17,1,0
19,M,Técnico,415.0,Desempleado,1,1,2,1,0
49,F,Universitario,766.0,Estudiante,5,4,12,1,1
40,M,Universitario,2154.0,Estudiante,5,1,13,1,0
39,M,Técnico,532.0,Estudiante,2,3,3,1,0
42,M,Primaria,1876.0,Estudiante,3,4,17,1,0
39,M,Universitario,1435.0,Empleado,4,1,4,1,0
39,Otro,Técnico,2325.0,Estudiante,2,1,13,1,0
59,F,Técnico,2019.0,Estudiante,1,1,11,0,0
23,M,Primaria,1137.0,Empleado,4,4,6,0,0
32,F,Técnico,1321.0,Empleado,2,1,11,1,0
60,M,Postgrado,200.0,Independiente,2,1,7,1,0
54,M,Secundaria,1396.0,Estudiante,3,3,20,0,0
50,Otro,Técnico,484.0,Estudiante,1,1,20,0,0
25,F,Universitario,1325.0,Estudiante,1,1,2,0,0
61,Otro,Universitario,990.0,Estudiante,2,5,0,1,0
61,M,Técnico,799.0,Estudiante,3,4,2,1,0
22,F,Secundaria,2450.0,Independiente,2,5,10,0,0
56,M,Postgrado,479.0,Independiente,5,3,17,1,1
21,M,Universitario,730.0,Empleado,5,5,6,0,0
23,F,Secundaria,941.0,Independiente,3,2,8,1,0
62,M,Primaria,1115.0,Empleado,2,4,3,1,0
49,F,Técnico,799.0,Estudiante,3,1,9,1,0
47,F,Secundaria,1213.0,Empleado,2,5,17,0,0
64,M,Secundaria,1742.0,Empleado,2,5,15,0,0
52,F,Universitario,2036.0,Desempleado,5,1,11,1,0
57,F,Primaria,1997.0,Independiente,4,1,18,0,0
33,M,Universitario,200.0,Empleado,1,3,2,1,0
30,F,Secundaria,1804.0,Empleado,1,5,7,1,0
59,F,Universitario,1854.0,Empleado,3,5,18,1,0
47,M,Universitario,970.0,Empleado,1,2,8,1,0
36,F,Primaria,2834.0,Empleado,5,2,18,0,0
34,Otro,Técnico,2370.0,Empleado,4,5,16,1,1
36,M,Secundaria,1354.0,Empleado,2,2,12,1,0
45,F,Universitario,1023.0,Empleado,2,5,1,0,0
43,M,Universitario,2821.0,Empleado,5,4,3,1,0
54,F,Técnico,1485.0,Empleado,1,3,10,1,0
43,F,Técnico,1568.0,Estudiante,2,2,1,1,0
40,M,Secundaria,1558.0,Empleado,1,5,3,0,0
26,M,Universitario,3342.0,Empleado,5,2,3,1,0
29,F,Técnico,1327.0,Empleado,2,3,19,1,0
18,M,Secundaria,1481.0,Empleado,3,4,0,0,0
18,F,Técnico,835.0,Desempleado,4,1,10,1,0
64,M,Primaria,1188.0,Desempleado,1,1,1,1,0
51,F,Universitario,675.0,Independiente,1,2,18,1,0
49,F,Primaria,851.0,Independiente,1,5,7,1,0
65,F,Universitario,200.0,Empleado,1,3,19,1,0
42,M,Secundaria,2205.0,Independiente,5,4,3,0,0
57,F,Secundaria,1625.0,Desempleado,5,4,15,1,1
62,F,Universitario,1691.0,Estudiante,5,4,14,1,1
18,M,Postgrado,1458.0,Desempleado,5,1,4,0,0
33,M,Universitario,1557.0,Independiente,2,3,4,1,0
56,M,Secundaria,2795.0,Empleado,5,1,14,1,0
22,F,Secundaria,885.0,Estudiante,2,2,16,1,0
39,F,Universitario,1723.0,Empleado,3,4,2,1,0
46,M,Técnico,1718.0,Desempleado,5,3,17,1,1
20,F,Secundaria,2414.0,Independiente,3,4,10,0,0
29,M,Universitario,1851.0,Desempleado,5,1,5,1,0
43,M,Universitario,1891.0,Independiente,3,1,11,1,0
33,Otro,Postgrado,493.0,Independiente,4,1,16,0,0
54,F,Postgrado,853.0,Empleado,3,4,13,0,0
39,F,Universitario,566.0,Empleado,2,3,5,1,0
46,M,Primaria,200.0,Desempleado,1,3,9,1,0
